title,runtime_raw,imdb_rating_raw,genre_raw,release_year_raw,runtime,imdb_rating,release_year,genre
Fantasia 2000 ,74.0,7.3,Animation|Family|Fantasy|Music,1999.0,74.0,7.3,1999.0,Animation|Family|Fantasy|Music
The Time Machine ,96.0,5.9,Action|Adventure|Sci-Fi,2002.0,96.0,5.9,2002.0,Action|Adventure|Sci-Fi
Mighty Joe Young ,114.0,5.6,Action|Adventure|Family|Fantasy|Thriller,1998.0,114.0,5.6,1998.0,Action|Adventure|Family|Fantasy|Thriller
Swordfish ,99.0,6.5,Action|Crime|Thriller,2001.0,99.0,6.5,2001.0,Action|Crime|Thriller
The Legend of Zorro ,129.0,5.9,Action|Adventure|Western,2005.0,129.0,5.9,2005.0,Action|Adventure|Western
What Dreams May Come ,113.0,7.0,Drama|Fantasy|Romance,1998.0,113.0,7.0,1998.0,Drama|Fantasy|Romance
Little Nicky ,90.0,5.3,Comedy|Fantasy,2000.0,90.0,5.3,2000.0,Comedy|Fantasy
The Brothers Grimm ,118.0,5.9,Action|Adventure|Comedy|Fantasy|Thriller,2005.0,118.0,5.9,2005.0,Action|Adventure|Comedy|Fantasy|Thriller
Mars Attacks! ,106.0,6.3,Action|Comedy|Sci-Fi,1996.0,106.0,6.3,1996.0,Action|Comedy|Sci-Fi
Evolution ,81.0,6.4,Drama|Horror|Mystery|Sci-Fi,2015.0,81.0,6.4,2015.0,Drama|Horror|Mystery|Sci-Fi
The Edge ,117.0,6.9,Action|Adventure|Drama|Thriller,1997.0,117.0,6.9,1997.0,Action|Adventure|Drama|Thriller
Surrogates ,89.0,6.3,Action|Sci-Fi|Thriller,2009.0,89.0,6.3,2009.0,Action|Sci-Fi|Thriller
Thirteen Days ,145.0,7.3,Drama|History|Thriller,2000.0,145.0,7.3,2000.0,Drama|History|Thriller
Daylight ,114.0,5.8,Action|Adventure|Drama|Thriller,1996.0,114.0,5.8,1996.0,Action|Adventure|Drama|Thriller
Walking with Dinosaurs 3D ,87.0,5.2,Adventure|Animation|Family,2013.0,87.0,5.2,2013.0,Adventure|Animation|Family
Battlefield Earth ,119.0,2.4,Action|Adventure|Sci-Fi,2000.0,119.0,2.4,2000.0,Action|Adventure|Sci-Fi
Looney Tunes: Back in Action ,91.0,5.7,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,2003.0,91.0,5.7,2003.0,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi
Nine ,118.0,5.8,Drama|Musical|Romance,2009.0,118.0,5.8,2009.0,Drama|Musical|Romance
Timeline ,116.0,5.6,Action|Adventure|Sci-Fi,2003.0,116.0,5.6,2003.0,Action|Adventure|Sci-Fi
The Postman ,177.0,6.0,Action|Adventure|Drama|Sci-Fi,1997.0,177.0,6.0,1997.0,Action|Adventure|Drama|Sci-Fi
Babe: Pig in the City ,97.0,5.8,Adventure|Comedy|Drama|Family|Fantasy,1998.0,97.0,5.8,1998.0,Adventure|Comedy|Drama|Family|Fantasy
The Last Witch Hunter ,106.0,6.0,Action|Adventure|Fantasy,2015.0,106.0,6.0,2015.0,Action|Adventure|Fantasy
Red Planet ,106.0,5.7,Action|Sci-Fi|Thriller,2000.0,106.0,5.7,2000.0,Action|Sci-Fi|Thriller
Arthur and the Invisibles ,94.0,6.0,Adventure|Animation|Family|Fantasy,2006.0,94.0,6.0,2006.0,Adventure|Animation|Family|Fantasy
Oceans ,104.0,7.8,Documentary|Drama,2009.0,104.0,7.8,2009.0,Documentary|Drama
A Sound of Thunder ,102.0,4.2,Action|Adventure|Horror|Sci-Fi|Thriller,2005.0,102.0,4.2,2005.0,Action|Adventure|Horror|Sci-Fi|Thriller
Pompeii ,105.0,5.6,Action|Adventure|Drama|History|Romance,2014.0,105.0,5.6,2014.0,Action|Adventure|Drama|History|Romance
Top Cat Begins ,89.0,4.4,Animation|Family,2015.0,89.0,4.4,2015.0,Animation|Family
A Beautiful Mind ,135.0,8.2,Biography|Drama,2001.0,135.0,8.2,2001.0,Biography|Drama
The Lion King ,73.0,8.5,Adventure|Animation|Drama|Family|Musical,1994.0,73.0,8.5,1994.0,Adventure|Animation|Drama|Family|Musical
Journey 2: The Mysterious Island ,94.0,5.8,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,2012.0,94.0,5.8,2012.0,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi
Cloudy with a Chance of Meatballs 2 ,95.0,6.5,Animation|Comedy|Family|Fantasy|Sci-Fi,2013.0,95.0,6.5,2013.0,Animation|Comedy|Family|Fantasy|Sci-Fi
Red Dragon ,124.0,7.2,Crime|Drama|Thriller,2002.0,124.0,7.2,2002.0,Crime|Drama|Thriller
Hidalgo ,136.0,6.7,Action|Adventure|Western,2004.0,136.0,6.7,2004.0,Action|Adventure|Western
Jack and Jill ,91.0,3.4,Comedy,2011.0,91.0,3.4,2011.0,Comedy
2 Fast 2 Furious ,107.0,5.9,Action|Crime|Thriller,2003.0,107.0,5.9,2003.0,Action|Crime|Thriller
The Little Prince ,108.0,7.8,Adventure|Animation|Drama|Family|Fantasy,2015.0,108.0,7.8,2015.0,Adventure|Animation|Drama|Family|Fantasy
The Invasion ,99.0,5.9,Sci-Fi|Thriller,2007.0,99.0,5.9,2007.0,Sci-Fi|Thriller
The Adventures of Rocky & Bullwinkle ,92.0,4.1,Adventure|Animation|Comedy|Family|Fantasy,2000.0,92.0,4.1,2000.0,Adventure|Animation|Comedy|Family|Fantasy
The Secret Life of Pets ,87.0,6.8,Animation|Comedy|Family,2016.0,87.0,6.8,2016.0,Animation|Comedy|Family
The League of Extraordinary Gentlemen ,110.0,5.8,Action|Adventure|Fantasy|Sci-Fi,2003.0,110.0,5.8,2003.0,Action|Adventure|Fantasy|Sci-Fi
Despicable Me 2 ,98.0,7.5,Animation|Comedy|Family|Sci-Fi,2013.0,98.0,7.5,2013.0,Animation|Comedy|Family|Sci-Fi
Independence Day ,154.0,6.9,Action|Adventure|Sci-Fi,1996.0,154.0,6.9,1996.0,Action|Adventure|Sci-Fi
The Lost World: Jurassic Park ,129.0,6.5,Action|Adventure|Sci-Fi,1997.0,129.0,6.5,1997.0,Action|Adventure|Sci-Fi
Madagascar ,86.0,6.9,Adventure|Animation|Comedy|Family,2005.0,86.0,6.9,2005.0,Adventure|Animation|Comedy|Family
Children of Men ,109.0,7.9,Drama|Sci-Fi|Thriller,2006.0,109.0,7.9,2006.0,Drama|Sci-Fi|Thriller
X-Men ,104.0,7.4,Action|Adventure|Sci-Fi,2000.0,104.0,7.4,2000.0,Action|Adventure|Sci-Fi
Wanted ,110.0,6.7,Action|Crime|Fantasy|Thriller,2008.0,110.0,6.7,2008.0,Action|Crime|Fantasy|Thriller
The Rock ,136.0,7.4,Action|Adventure|Thriller,1996.0,136.0,7.4,1996.0,Action|Adventure|Thriller
Ice Age: The Meltdown ,115.0,6.9,Action|Adventure|Animation|Comedy|Family|Fantasy,2006.0,115.0,6.9,2006.0,Action|Adventure|Animation|Comedy|Family|Fantasy
50 First Dates ,99.0,6.8,Comedy|Romance,2004.0,99.0,6.8,2004.0,Comedy|Romance
Hairspray ,117.0,6.7,Comedy|Drama|Family|Music|Musical|Romance,2007.0,117.0,6.7,2007.0,Comedy|Drama|Family|Music|Musical|Romance
Exorcist: The Beginning ,125.0,5.1,Horror|Mystery|Thriller,2004.0,125.0,5.1,2004.0,Horror|Mystery|Thriller
Inspector Gadget ,110.0,4.1,Action|Adventure|Comedy|Family|Sci-Fi,1999.0,110.0,4.1,1999.0,Action|Adventure|Comedy|Family|Sci-Fi
Now You See Me ,125.0,7.3,Crime|Mystery|Thriller,2013.0,125.0,7.3,2013.0,Crime|Mystery|Thriller
Grown Ups ,102.0,6.0,Comedy,2010.0,102.0,6.0,2010.0,Comedy
The Terminal ,128.0,7.3,Comedy|Drama,2004.0,128.0,7.3,2004.0,Comedy|Drama
Hotel for Dogs ,100.0,5.4,Comedy|Family,2009.0,100.0,5.4,2009.0,Comedy|Family
Vertical Limit ,124.0,5.9,Action|Adventure|Drama|Thriller,2000.0,124.0,5.9,2000.0,Action|Adventure|Drama|Thriller
Charlie Wilson's War ,102.0,7.1,Biography|Comedy|Drama|History,2007.0,102.0,7.1,2007.0,Biography|Comedy|Drama|History
Shark Tale ,90.0,6.0,Adventure|Animation|Comedy|Family,2004.0,90.0,6.0,2004.0,Adventure|Animation|Comedy|Family
Dreamgirls ,130.0,6.5,Drama|Music|Musical,2006.0,130.0,6.5,2006.0,Drama|Music|Musical
Be Cool ,118.0,5.7,Comedy|Crime|Music,2005.0,118.0,5.7,2005.0,Comedy|Crime|Music
Munich ,163.0,7.6,Drama|History|Thriller,2005.0,163.0,7.6,2005.0,Drama|History|Thriller
Tears of the Sun ,142.0,6.6,Action|Drama|Thriller|War,2003.0,142.0,6.6,2003.0,Action|Drama|Thriller|War
Killers ,100.0,5.4,Action|Comedy|Romance|Thriller,2010.0,100.0,5.4,2010.0,Action|Comedy|Romance|Thriller
The Man from U.N.C.L.E. ,116.0,7.3,Action|Adventure|Comedy,2015.0,116.0,7.3,2015.0,Action|Adventure|Comedy
Spanglish ,131.0,6.5,Comedy|Drama|Romance,2004.0,131.0,6.5,2004.0,Comedy|Drama|Romance
Monster House ,91.0,6.6,Animation|Comedy|Family|Fantasy|Mystery,2006.0,91.0,6.6,2006.0,Animation|Comedy|Family|Fantasy|Mystery
Bandits ,123.0,6.6,Comedy|Crime|Drama|Romance,2001.0,123.0,6.6,2001.0,Comedy|Crime|Drama|Romance
First Knight ,134.0,5.9,Action|Adventure|Romance|Thriller,1995.0,134.0,5.9,1995.0,Action|Adventure|Romance|Thriller
Anna and the King ,148.0,6.7,Drama|History|Romance,1999.0,148.0,6.7,1999.0,Drama|History|Romance
Immortals ,110.0,6.1,Action|Drama|Fantasy|Romance,2011.0,110.0,6.1,2011.0,Action|Drama|Fantasy|Romance
Hostage ,113.0,6.6,Action|Crime|Drama|Mystery|Thriller,2005.0,113.0,6.6,2005.0,Action|Crime|Drama|Mystery|Thriller
Titan A.E. ,94.0,6.6,Action|Adventure|Animation|Family|Sci-Fi,2000.0,94.0,6.6,2000.0,Action|Adventure|Animation|Family|Sci-Fi
Hollywood Homicide ,116.0,5.3,Action|Comedy|Crime|Thriller,2003.0,116.0,5.3,2003.0,Action|Comedy|Crime|Thriller
Soldier ,99.0,6.0,Action|Drama|Sci-Fi,1998.0,99.0,6.0,1998.0,Action|Drama|Sci-Fi
Carriers ,84.0,6.0,Drama|Horror|Sci-Fi|Thriller,2009.0,84.0,6.0,2009.0,Drama|Horror|Sci-Fi|Thriller
Monkeybone ,93.0,4.7,Animation|Comedy|Fantasy,2001.0,93.0,4.7,2001.0,Animation|Comedy|Fantasy
Flight of the Phoenix ,113.0,6.1,Action|Adventure|Drama|Thriller,2004.0,113.0,6.1,2004.0,Action|Adventure|Drama|Thriller
Unbreakable ,106.0,7.2,Drama|Mystery|Sci-Fi|Thriller,2000.0,106.0,7.2,2000.0,Drama|Mystery|Sci-Fi|Thriller
Minions ,91.0,6.4,Action|Animation|Comedy|Family|Sci-Fi,2015.0,91.0,6.4,2015.0,Action|Animation|Comedy|Family|Sci-Fi
Sucker Punch ,128.0,6.1,Action|Fantasy,2011.0,128.0,6.1,2011.0,Action|Fantasy
Snake Eyes ,98.0,5.9,Crime|Mystery|Thriller,1998.0,98.0,5.9,1998.0,Crime|Mystery|Thriller
Sphere ,134.0,6.0,Drama|Mystery|Sci-Fi|Thriller,1998.0,134.0,6.0,1998.0,Drama|Mystery|Sci-Fi|Thriller
The Angry Birds Movie ,97.0,6.3,Action|Animation|Comedy|Family,2016.0,97.0,6.3,2016.0,Action|Animation|Comedy|Family
Fool's Gold ,112.0,5.6,Action|Adventure|Comedy|Romance|Thriller,2008.0,112.0,5.6,2008.0,Action|Adventure|Comedy|Romance|Thriller
Funny People ,153.0,6.4,Comedy|Drama,2009.0,153.0,6.4,2009.0,Comedy|Drama
The Kingdom ,110.0,7.1,Action|Drama|Thriller,2007.0,110.0,7.1,2007.0,Action|Drama|Thriller
Talladega Nights: The Ballad of Ricky Bobby ,122.0,6.6,Action|Comedy|Sport,2006.0,122.0,6.6,2006.0,Action|Comedy|Sport
Dr. Dolittle 2 ,87.0,4.6,Comedy|Family|Fantasy,2001.0,87.0,4.6,2001.0,Comedy|Family|Fantasy
Braveheart ,178.0,8.4,Biography|Drama|History|War,1995.0,178.0,8.4,1995.0,Biography|Drama|History|War
Jarhead ,125.0,7.1,Action|Drama|War,2005.0,125.0,7.1,2005.0,Action|Drama|War
The Simpsons Movie ,87.0,7.4,Adventure|Animation|Comedy,2007.0,87.0,7.4,2007.0,Adventure|Animation|Comedy
The Majestic ,152.0,6.9,Drama|Romance,2001.0,152.0,6.9,2001.0,Drama|Romance
Driven ,116.0,4.5,Action|Drama|Sport,2001.0,116.0,4.5,2001.0,Action|Drama|Sport
Two Brothers ,109.0,7.1,Adventure|Drama|Family,2004.0,109.0,7.1,2004.0,Adventure|Drama|Family
The Village ,108.0,6.5,Drama|Mystery|Romance|Thriller,2004.0,108.0,6.5,2004.0,Drama|Mystery|Romance|Thriller
Doctor Dolittle ,85.0,5.3,Comedy|Family|Fantasy,1998.0,85.0,5.3,1998.0,Comedy|Family|Fantasy
Signs ,106.0,6.7,Drama|Sci-Fi|Thriller,2002.0,106.0,6.7,2002.0,Drama|Sci-Fi|Thriller
Shrek 2 ,93.0,7.2,Adventure|Animation|Comedy|Family|Fantasy|Romance,2004.0,93.0,7.2,2004.0,Adventure|Animation|Comedy|Family|Fantasy|Romance
Cars ,117.0,7.2,Adventure|Animation|Comedy|Family|Sport,2006.0,117.0,7.2,2006.0,Adventure|Animation|Comedy|Family|Sport
Runaway Bride ,116.0,5.5,Comedy|Romance,1999.0,116.0,5.5,1999.0,Comedy|Romance
xXx ,132.0,5.8,Action|Adventure|Thriller,2002.0,132.0,5.8,2002.0,Action|Adventure|Thriller
The SpongeBob Movie: Sponge Out of Water ,92.0,6.0,Adventure|Animation|Comedy|Family|Fantasy,2015.0,92.0,6.0,2015.0,Adventure|Animation|Comedy|Family|Fantasy
Ransom ,139.0,6.6,Crime|Thriller,1996.0,139.0,6.6,1996.0,Crime|Thriller
Inglourious Basterds ,153.0,8.3,Adventure|Drama|War,2009.0,153.0,8.3,2009.0,Adventure|Drama|War
Hook ,142.0,6.7,Adventure|Comedy|Family|Fantasy,1991.0,142.0,6.7,1991.0,Adventure|Comedy|Family|Fantasy
Die Hard 2 ,124.0,7.1,Action|Thriller,1990.0,124.0,7.1,1990.0,Action|Thriller
S.W.A.T. ,117.0,6.0,Action|Adventure|Crime|Thriller,2003.0,117.0,6.0,2003.0,Action|Adventure|Crime|Thriller
Vanilla Sky ,141.0,6.9,Fantasy|Mystery|Romance|Sci-Fi|Thriller,2001.0,141.0,6.9,2001.0,Fantasy|Mystery|Romance|Sci-Fi|Thriller
Lady in the Water ,110.0,5.6,Drama|Fantasy|Mystery|Thriller,2006.0,110.0,5.6,2006.0,Drama|Fantasy|Mystery|Thriller
AVP: Alien vs. Predator ,109.0,5.6,Action|Horror|Sci-Fi|Thriller,2004.0,109.0,5.6,2004.0,Action|Horror|Sci-Fi|Thriller
Alvin and the Chipmunks: The Squeakquel ,88.0,4.5,Animation|Comedy|Family|Fantasy|Music,2009.0,88.0,4.5,2009.0,Animation|Comedy|Family|Fantasy|Music
We Were Soldiers ,124.0,7.1,Action|Drama|History|War,2002.0,124.0,7.1,2002.0,Action|Drama|History|War
Olympus Has Fallen ,119.0,6.5,Action|Thriller,2013.0,119.0,6.5,2013.0,Action|Thriller
Star Trek: Insurrection ,103.0,6.4,Action|Adventure|Sci-Fi|Thriller,1998.0,103.0,6.4,1998.0,Action|Adventure|Sci-Fi|Thriller
Battle Los Angeles ,116.0,5.8,Action|Sci-Fi,2011.0,116.0,5.8,2011.0,Action|Sci-Fi
Big Fish ,125.0,8.0,Adventure|Drama|Fantasy,2003.0,125.0,8.0,2003.0,Adventure|Drama|Fantasy
Wolf ,125.0,6.2,Drama|Horror|Romance|Thriller,1994.0,125.0,6.2,1994.0,Drama|Horror|Romance|Thriller
War Horse ,146.0,7.2,Drama|War,2011.0,146.0,7.2,2011.0,Drama|War
The Monuments Men ,118.0,6.1,Drama|War,2014.0,118.0,6.1,2014.0,Drama|War
The Abyss ,171.0,7.6,Adventure|Drama|Sci-Fi|Thriller,1989.0,171.0,7.6,1989.0,Adventure|Drama|Sci-Fi|Thriller
Wall Street: Money Never Sleeps ,136.0,6.3,Drama,2010.0,136.0,6.3,2010.0,Drama
Dracula Untold ,92.0,6.3,Action|Drama|Fantasy|Horror|War,2014.0,92.0,6.3,2014.0,Action|Drama|Fantasy|Horror|War
The Siege ,116.0,6.3,Action|Thriller,1998.0,116.0,6.3,1998.0,Action|Thriller
Stardust ,127.0,7.7,Adventure|Family|Fantasy|Romance,2007.0,127.0,7.7,2007.0,Adventure|Family|Fantasy|Romance
Seven Years in Tibet ,136.0,7.0,Adventure|Biography|Drama|History|War,1997.0,136.0,7.0,1997.0,Adventure|Biography|Drama|History|War
The Dilemma ,111.0,5.3,Comedy|Drama,2011.0,111.0,5.3,2011.0,Comedy|Drama
Bad Company ,116.0,5.6,Action|Adventure|Comedy|Thriller,2002.0,116.0,5.6,2002.0,Action|Adventure|Comedy|Thriller
Doom ,113.0,5.2,Action|Adventure|Horror|Sci-Fi,2005.0,113.0,5.2,2005.0,Action|Adventure|Horror|Sci-Fi
I Spy ,97.0,5.4,Action|Adventure|Comedy|Thriller,2002.0,97.0,5.4,2002.0,Action|Adventure|Comedy|Thriller
Underworld: Awakening ,88.0,6.4,Action|Fantasy|Horror,2012.0,88.0,6.4,2012.0,Action|Fantasy|Horror
Rock of Ages ,136.0,5.9,Comedy|Drama|Musical|Romance,2012.0,136.0,5.9,2012.0,Comedy|Drama|Musical|Romance
Hart's War ,125.0,6.3,Drama|War,2002.0,125.0,6.3,2002.0,Drama|War
Killer Elite ,116.0,6.5,Action|Crime|Thriller,2011.0,116.0,6.5,2011.0,Action|Crime|Thriller
Rollerball ,98.0,3.0,Action|Sci-Fi|Sport,2002.0,98.0,3.0,2002.0,Action|Sci-Fi|Sport
Ballistic: Ecks vs. Sever ,91.0,3.6,Action|Crime|Sci-Fi|Thriller,2002.0,91.0,3.6,2002.0,Action|Crime|Sci-Fi|Thriller
Hard Rain ,97.0,5.8,Action|Crime|Drama|Thriller,1998.0,97.0,5.8,1998.0,Action|Crime|Drama|Thriller
Osmosis Jones ,95.0,6.2,Action|Adventure|Animation|Comedy|Crime|Family|Fantasy,2001.0,95.0,6.2,2001.0,Action|Adventure|Animation|Comedy|Crime|Family|Fantasy
Legends of Oz: Dorothy's Return ,88.0,5.6,Adventure|Animation|Family|Fantasy|Musical,2013.0,88.0,5.6,2013.0,Adventure|Animation|Family|Fantasy|Musical
Blackhat ,133.0,5.4,Action|Crime|Drama|Mystery|Thriller,2015.0,133.0,5.4,2015.0,Action|Crime|Drama|Mystery|Thriller
Sky Captain and the World of Tomorrow ,106.0,6.1,Action|Adventure|Mystery|Sci-Fi|Thriller,2004.0,106.0,6.1,2004.0,Action|Adventure|Mystery|Sci-Fi|Thriller
Basic Instinct 2 ,116.0,4.2,Crime|Mystery|Thriller,2006.0,116.0,4.2,2006.0,Crime|Mystery|Thriller
Escape Plan ,115.0,6.7,Action|Crime|Mystery|Sci-Fi|Thriller,2013.0,115.0,6.7,2013.0,Action|Crime|Mystery|Sci-Fi|Thriller
The Legend of Hercules ,99.0,4.2,Action|Adventure|Fantasy,2014.0,99.0,4.2,2014.0,Action|Adventure|Fantasy
The Sum of All Fears ,124.0,6.4,Action|Drama|Thriller,2002.0,124.0,6.4,2002.0,Action|Drama|Thriller
The Twilight Saga: Eclipse ,124.0,4.9,Adventure|Drama|Fantasy|Romance,2010.0,124.0,4.9,2010.0,Adventure|Drama|Fantasy|Romance
The Score ,124.0,6.8,Crime|Drama|Thriller,2001.0,124.0,6.8,2001.0,Crime|Drama|Thriller
Despicable Me ,87.0,7.7,Animation|Comedy|Family,2010.0,87.0,7.7,2010.0,Animation|Comedy|Family
Money Train ,105.0,5.6,Action|Comedy|Crime|Drama|Thriller,1995.0,105.0,5.6,1995.0,Action|Comedy|Crime|Drama|Thriller
Ted 2 ,125.0,6.4,Comedy,2015.0,125.0,6.4,2015.0,Comedy
Agora ,141.0,7.2,Adventure|Drama|History|Romance,2009.0,141.0,7.2,2009.0,Adventure|Drama|History|Romance
Mystery Men ,121.0,6.0,Action|Comedy|Fantasy|Sci-Fi,1999.0,121.0,6.0,1999.0,Action|Comedy|Fantasy|Sci-Fi
Hall Pass ,111.0,5.9,Comedy|Romance,2011.0,111.0,5.9,2011.0,Comedy|Romance
The Insider ,157.0,7.9,Biography|Drama|Thriller,1999.0,157.0,7.9,1999.0,Biography|Drama|Thriller
The Finest Hours ,117.0,6.8,Action|Drama|History|Thriller,2016.0,117.0,6.8,2016.0,Action|Drama|History|Thriller
Body of Lies ,128.0,7.1,Action|Drama|Thriller,2008.0,128.0,7.1,2008.0,Action|Drama|Thriller
Dinner for Schmucks ,114.0,5.9,Comedy,2010.0,114.0,5.9,2010.0,Comedy
Abraham Lincoln: Vampire Hunter ,105.0,5.9,Action|Fantasy|Horror,2012.0,105.0,5.9,2012.0,Action|Fantasy|Horror
Entrapment ,113.0,6.2,Action|Crime|Romance|Thriller,1999.0,113.0,6.2,1999.0,Action|Crime|Romance|Thriller
The X Files ,121.0,7.0,Drama|Mystery|Sci-Fi|Thriller,1998.0,121.0,7.0,1998.0,Drama|Mystery|Sci-Fi|Thriller
The Last Legion ,102.0,5.4,Action|Adventure|Fantasy|War,2007.0,102.0,5.4,2007.0,Action|Adventure|Fantasy|War
Saving Private Ryan ,169.0,8.6,Action|Drama|War,1998.0,169.0,8.6,1998.0,Action|Drama|War
Need for Speed ,132.0,6.5,Action|Crime|Drama|Thriller,2014.0,132.0,6.5,2014.0,Action|Crime|Drama|Thriller
What Women Want ,127.0,6.4,Comedy|Fantasy|Romance,2000.0,127.0,6.4,2000.0,Comedy|Fantasy|Romance
Ice Age ,103.0,7.6,Adventure|Animation|Comedy|Family,2002.0,103.0,7.6,2002.0,Adventure|Animation|Comedy|Family
Dreamcatcher ,136.0,5.5,Drama|Horror|Sci-Fi|Thriller,2003.0,136.0,5.5,2003.0,Drama|Horror|Sci-Fi|Thriller
Lincoln ,150.0,7.4,Biography|Drama|History|War,2012.0,150.0,7.4,2012.0,Biography|Drama|History|War
The Matrix ,136.0,8.7,Action|Sci-Fi,1999.0,136.0,8.7,1999.0,Action|Sci-Fi
Apollo 13 ,140.0,7.6,Adventure|Drama|History,1995.0,140.0,7.6,1995.0,Adventure|Drama|History
The Santa Clause 2 ,104.0,5.5,Comedy|Family|Fantasy,2002.0,104.0,5.5,2002.0,Comedy|Family|Fantasy
Les Misérables ,158.0,7.6,Drama|Musical|Romance,2012.0,158.0,7.6,2012.0,Drama|Musical|Romance
You've Got Mail ,119.0,6.5,Comedy|Drama|Romance,1998.0,119.0,6.5,1998.0,Comedy|Drama|Romance
Step Brothers ,106.0,6.9,Comedy,2008.0,106.0,6.9,2008.0,Comedy
The Mask of Zorro ,136.0,6.7,Action|Adventure|Comedy|Romance|Thriller|Western,1998.0,136.0,6.7,1998.0,Action|Adventure|Comedy|Romance|Thriller|Western
Due Date ,95.0,6.6,Comedy|Drama,2010.0,95.0,6.6,2010.0,Comedy|Drama
Unbroken ,137.0,7.2,Biography|Drama|Sport|War,2014.0,137.0,7.2,2014.0,Biography|Drama|Sport|War
Space Cowboys ,130.0,6.4,Action|Adventure|Thriller,2000.0,130.0,6.4,2000.0,Action|Adventure|Thriller
Cliffhanger ,124.0,6.4,Action|Adventure|Thriller,1993.0,124.0,6.4,1993.0,Action|Adventure|Thriller
Broken Arrow ,108.0,6.0,Action|Crime|Thriller,1996.0,108.0,6.0,1996.0,Action|Crime|Thriller
The Kid ,104.0,6.1,Comedy|Family|Fantasy,2000.0,104.0,6.1,2000.0,Comedy|Family|Fantasy
World Trade Center ,129.0,6.0,Drama|History|Thriller,2006.0,129.0,6.0,2006.0,Drama|History|Thriller
Mona Lisa Smile ,117.0,6.4,Drama,2003.0,117.0,6.4,2003.0,Drama
The Dictator ,99.0,6.4,Comedy|Romance,2012.0,99.0,6.4,2012.0,Comedy|Romance
Eyes Wide Shut ,159.0,7.3,Drama|Mystery|Thriller,1999.0,159.0,7.3,1999.0,Drama|Mystery|Thriller
Annie ,118.0,5.2,Comedy|Drama|Family|Musical,2014.0,118.0,5.2,2014.0,Comedy|Drama|Family|Musical
Focus ,105.0,6.6,Comedy|Crime|Drama|Romance,2015.0,105.0,6.6,2015.0,Comedy|Crime|Drama|Romance
This Means War ,103.0,6.3,Action|Comedy|Romance,2012.0,103.0,6.3,2012.0,Action|Comedy|Romance
Blade: Trinity ,122.0,5.9,Action|Adventure|Fantasy|Horror|Sci-Fi|Thriller,2004.0,122.0,5.9,2004.0,Action|Adventure|Fantasy|Horror|Sci-Fi|Thriller
Red Dawn ,114.0,6.4,Action|Drama|War,1984.0,114.0,6.4,1984.0,Action|Drama|War
Primary Colors ,143.0,6.7,Comedy|Drama,1998.0,143.0,6.7,1998.0,Comedy|Drama
Resident Evil: Retribution ,96.0,5.4,Action|Horror|Sci-Fi|Thriller,2012.0,96.0,5.4,2012.0,Action|Horror|Sci-Fi|Thriller
Death Race ,111.0,6.4,Action|Sci-Fi|Thriller,2008.0,111.0,6.4,2008.0,Action|Sci-Fi|Thriller
The Long Kiss Goodnight ,121.0,6.7,Action|Crime|Drama|Mystery|Thriller,1996.0,121.0,6.7,1996.0,Action|Crime|Drama|Mystery|Thriller
Proof of Life ,135.0,6.2,Action|Drama|Thriller,2000.0,135.0,6.2,2000.0,Action|Drama|Thriller
Zathura: A Space Adventure ,101.0,6.1,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,2005.0,101.0,6.1,2005.0,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi
Fight Club ,151.0,8.8,Drama,1999.0,151.0,8.8,1999.0,Drama
We Are Marshall ,131.0,7.1,Drama|Sport,2006.0,131.0,7.1,2006.0,Drama|Sport
Hudson Hawk ,100.0,5.7,Action|Adventure|Comedy,1991.0,100.0,5.7,1991.0,Action|Adventure|Comedy
Lucky Numbers ,105.0,5.0,Comedy|Crime,2000.0,105.0,5.0,2000.0,Comedy|Crime
"I, Frankenstein ",92.0,5.1,Action|Fantasy|Sci-Fi|Thriller,2014.0,92.0,5.1,2014.0,Action|Fantasy|Sci-Fi|Thriller
Oliver Twist ,130.0,6.9,Crime|Drama,2005.0,130.0,6.9,2005.0,Crime|Drama
Elektra ,100.0,4.8,Action|Crime|Fantasy|Thriller,2005.0,100.0,4.8,2005.0,Action|Crime|Fantasy|Thriller
Sin City: A Dame to Kill For ,102.0,6.5,Action|Crime|Thriller,2014.0,102.0,6.5,2014.0,Action|Crime|Thriller
Random Hearts ,133.0,5.1,Drama|Mystery|Romance,1999.0,133.0,5.1,1999.0,Drama|Mystery|Romance
Everest ,121.0,7.1,Adventure|Biography|Drama|History|Sport|Thriller,2015.0,121.0,7.1,2015.0,Adventure|Biography|Drama|History|Sport|Thriller
Perfume: The Story of a Murderer ,147.0,7.5,Crime|Drama|Fantasy,2006.0,147.0,7.5,2006.0,Crime|Drama|Fantasy
Austin Powers in Goldmember ,94.0,6.2,Action|Comedy|Crime,2002.0,94.0,6.2,2002.0,Action|Comedy|Crime
Astro Boy ,94.0,6.3,Action|Animation|Comedy|Family|Sci-Fi,2009.0,94.0,6.3,2009.0,Action|Animation|Comedy|Family|Sci-Fi
